Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
LSST;Safety Torch;"Includes Bulb/Lamp
Includes Charging port/connector
Includes Internal wiring/cabling";;;;;;;;;;;;;;;
IPSD;Analyser, Sand Monitor;"Includes sampling probe and line
Includes calibration gas/fluid supply system
Includes optical/laser window or lens (if applicable)
Includes internal diagnostic/test points
Includes internal power supply unit
Includes sand detector mounting (bracket / clamp support)
Includes sand detector
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
SECA;Breathing Apparatus;"Includes facepiece and mask seals
Includes pressure regulator and reducer
Includes low-pressure warning device
Includes harness and straps
Includes SCBA set
Includes cylinders fitted to SCBA
Includes spare cylinders
Excludes air produced by BA compressor
Excludes breathing air (BA) compressor which is covered by its own EST
Excludes Stowage Location (Locker with Fireman’s Outfit), covered by its own EST";;;;;;;;;;;;;;;
IPVE;Element, Vibration;"Includes cabling and connectors
Includes signal conditioning electronics
Includes mounting hardware (bolts, brackets, washers)
Includes environmental seals and gaskets
Includes mounting assembly
Excludes Vibration transmitter";;;;;;;;;;;;;;;
IPCD;Analyser, CO2;"Includes calibration gas supply system
Includes sample conditioning system
Includes internal diagnostic/test points
Includes sensor and mounting assembly
Includes signal processing (analyzer) circuitry
Includes sampling loop and associated components
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPOX;Analyser, Oxygen Monitor;"Includes calibration gas supply system
Includes display/indicator unit
Includes power supply unit
Includes environmental protection housing
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry";;;;;;;;;;;;;;;
IPHM;Analyser, Humidity Meter;"Includes calibration gas supply system
Includes sample conditioning system
Includes internal power supply unit
Includes internal diagnostic/test points
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry";;;;;;;;;;;;;;;
IPHS;Analyser, H2S;"Includes calibration gas supply system
Includes sample conditioning system
Includes internal diagnostic/test points
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry
Includes sampling loop and associated components
Includes air purge system (where applicable)
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPSO;Analyser, Sulfur Oxide;"Includes calibration gas supply system
Includes sample conditioning system
Includes internal power supply
Includes internal diagnostic/test points
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry
Includes sampling loop and associated components
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPHC;Analyser, Hydrocarbon;"Includes sample conditioning system
Includes calibration gas supply system
Includes power supply unit
Includes ventilation/exhaust system
Includes drain system
Includes heating/cooling system for analyzer housing
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry
Includes sampling loop and associated components
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPDP;Analyser, Dew Point Monitor;"Includes calibration gas supply system
Includes sample conditioning system
Includes power supply unit
Includes heating/cooling elements for sample conditioning
Includes sensor and mounting assembly
Includes signal processing (analyser) circuitry
Includes sampling loop and associated components
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPXS;Detector, Pig;"Includes internal power supply
Includes internal diagnostic/test points
Includes internal surge protection devices
Includes mounting assembly (bracket / clamp support)
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
WMSH;Shredder;"Includes Cutting blades or knives
Includes Drive shaft or coupling
Includes Seals and gaskets
Includes Electrical wiring and connections
Includes Lubrication system
Includes Safety interlocks or guards
Includes Supporting stand and chamber
Excludes Electric motor
Excludes Switchboard and control panel";;;;;;;;;;;;;;;
PKFU;Fuel Gas Treatment Package;"Includes skid structural supports
Includes skid instrumentation and controls
Includes skid electrical components
Includes skid insulation and lagging
Includes skid drains and vents
Includes skid safety devices";;;;;;;;;;;;;;;
ACPN;Actuator, Pneumatic;"Includes Pneumatic Air Supply Hose
Includes Pneumatic Tubing
Excludes Solenoid Valve
Excludes Non-Return Valve
Excludes Position Sensors";;;;;;;;;;;;;;;
HYHY;Hydraulic Cylinder;"Includes Piston seals
Includes Rod seals
Includes Wiper seals
Includes Cylinder barrel
Includes Piston rod
Includes Piston
Includes Cylinder end caps
Includes Mounting brackets
Includes Port connections
Includes Cushioning devices
Includes Lubrication points
Includes Fasteners/bolts
Excludes Solenoid valves
Excludes Non Return Valve";;;;;;;;;;;;;;;
NOSR;Sprinkler;"Includes alarm bell
Includes piping supports and hangers
Includes pipe insulation
Includes pipe fittings (elbows, tees, couplings)
Includes pipe clamps and brackets
Includes pipe corrosion protection
Includes pipe leak detection sensors
Includes water supply connection
Includes backflow preventer
Includes water mist nozzle
Includes fire department connection
Includes manual release station
Includes control wiring and cabling
Includes power supply unit
Includes communication module
Includes diagnostic/test points
Includes surge protection device
Includes grounding arrangement
Includes enclosure and doors
Includes terminal blocks and connectors
Includes circuit breakers/fuses
Includes PLC/controller modules
Includes associated pipework
Includes supports
Excludes valves";;;;;;;;;;;;;;;
EECP;Control Station, Local;"Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal PLC/controller modules
Includes Internal communication modules
Includes Internal wiring/cabling
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Stations enclosures and cover
Includes Earthing arrangements
Includes Internal trunking and connectors
Excludes Push button, Switch and lamp";;;;;;;;;;;;;;;
PRSG;Steering Gear;"Includes Seals and gaskets
Includes Electrical connections and wiring
Includes Control system components (non-instrumentation)
Excludes rudder bearing
Excludes steering gear specific instrumentation";;;;;;;;;;;;;;;
LSSR;Stretcher;"Includes wheels and casters
Includes locking mechanisms
Includes padding and cushioning
Includes handles and grips
Includes fasteners and connectors
Includes restraint buckles
Includes restraint straps
Includes lifting slings";;;;;;;;;;;;;;;
SWES;Electrical/ signla swivel;"Includes swivel seals
Includes swivel slip rings
Includes swivel electrical connectors
Includes swivel optical connectors
Includes swivel cooling system
Includes swivel pressure compensation system
Includes swivel alignment sensors
Includes swivel torque monitoring system
Includes SWES Electrical swivel
Includes Swivel support
Includes electrical/optical cables and associated clamps
Includes inner pipes / tubing routing and associated clamps
Includes all bolting linked with the driving system";;;;;;;;;;;;;;;
CMCT;Telecom System;"Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal terminal blocks, cable trays, trunking and connectors
Includes Internal communication modules
Includes Internal wiring/cabling
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Internal PLC/controller modules
Includes Cabinet enclosures and doors
Includes Earthing arrangements
Excludes Telecoms Shutdown panel hardware";;;;;;;;;;;;;;;
CMAQ;Antenna System;"Includes lightning protection system
Includes grounding/earthing connections
Includes environmental seals and gaskets
Includes parabolic reflector (if applicable)
Includes protective enclosure (if applicable)
Includes mounting assembly, pedestals, bracket supports
Includes field termination
Includes ODU (Outdoor Unit)
Excludes ATU (Antenna Tuning Unit)";;;;;;;;;;;;;;;
CMBQ;Telecom Battery and AC Power Distribution System;"Includes Internal circuit breakers/fuses
Includes Internal wiring/cabling
Includes Internal terminal blocks and connectors
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes ESD Power Ancillary Equipment
Includes Under-Voltage Disconnection Unit
Includes racks and mounting equipment
Excludes UPS system A and B";;;;;;;;;;;;;;;
SEDP;Deluge Valve Box;"Includes internal actuators
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Excludes deluge nozzles
Excludes foam tank";;;;;;;;;;;;;;;
WMGC;Garbage Compactor;"Includes Compaction chamber
Includes Electrical control system
Includes Safety interlocks
Excludes Electric motor
Excludes Switchboard and control panel";;;;;;;;;;;;;;;
VEDR;Dryer;"Includes Desiccant Cartridge
Includes Heating Element
Includes Integrity of local instrumentation
Includes Vessel, its fittings and any supporting structure
Excludes Compressor
Excludes Heat Exchanger";;;;;;;;;;;;;;;
NAFH;Foghorn;Excludes Foghorn control panels;;;;;;;;;;;;;;;
IPFG;Gauge, Flow;"Includes sensing element
Includes display/indicator unit
Includes internal wiring/cabling
Includes internal power supply
Includes internal circuit breakers/fuses
Includes internal diagnostic/test points";;;;;;;;;;;;;;;
IPTG;Gauge, Temperature;"Includes sensing element
Includes display/indicator
Includes calibration mechanism
Includes electrical connections
Includes protective housing";;;;;;;;;;;;;;;
NQNU;Radar Display Unit;"Includes internal power supply
Includes internal display backlight
Includes internal mounting hardware
Includes internal signal processing modules
Includes internal memory/storage
Includes internal communication ports";;;;;;;;;;;;;;;
PUSH;Pump Submerged, Hydraulic;"Includes Electrical control wiring and connectors
Includes Mounting brackets and supports
Includes Seals and gaskets (non-oil seal)
Includes Top Plate
Includes Pipe Stack
Includes Stripping line
Includes Header tank
Includes Instrumentation
Includes Evacuating System
Excludes Cofferdam
Excludes Portable Pump
Excludes Suction & Discharge valves";;;;;;;;;;;;;;;
CRGA;Crane, Gantry;"Includes Rail and track system
Includes Electrical cabling and connectors
Includes Lubrication system (grease fittings, reservoirs)
Includes Control pendant or remote control unit
Includes Anemometer or wind speed sensor
Includes top‑running bridge structure
Includes single or multiple girders
Includes load chain/wire rope and hook block
Includes motorisation systems (electric or pneumatic)
Includes brake systems (hoist, travel, pneumatic brakes)
Excludes Gearbox systems (hoist and travel)
Excludes Pneumatic supply system (hoses, valves, lubricators, filters)
Excludes instrumentation and control systems not integral to crane operation (PLCs, HMIs, automation panels)
Excludes hydraulic systems (HPUs, cylinders, accumulators)
Excludes lifting accessories (slings, shackles, lifting beams, padeyes)";;;;;;;;;;;;;;;
IPWT;Weight Transducer;"Includes mounting hardware
Includes calibration mechanism
Includes environmental protection
Includes signal conditioning electronics
Includes wiring
Includes electronic components
Excludes display";;;;;;;;;;;;;;;
SEPT;Personnel Transfer Equipment;"Includes safety harness
Includes communication system
Includes emergency stop system
Includes structural integrity components
Includes buoyancy aids
Includes personnel seating
Includes transfer basket
Includes personnel seating and harnesses";;;;;;;;;;;;;;;
IPDE;Analyser, Density;"Includes calibration fluid reservoir and lines
Includes internal power supply unit
Includes internal diagnostic/test points
Includes air purge system
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Excludes transmitter / receiver and mounting assembly
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
CMRH;HF/MF Portable Radio;"Includes Speaker/microphone
Includes Keypad/control buttons
Includes Display screen
Includes Internal wiring/cabling
Includes Internal circuit boards/modules
Includes Internal connectors/jacks
Excludes Radio Base Stations";;;;;;;;;;;;;;;
CMRU;Radio;"Includes Power supply unit
Includes Cabling and connectors
Includes Mounting hardware
Includes Internal fuses/circuit breakers
Includes Navtex
Includes Tetra System
Excludes Antenna
Excludes emergency hand portable radios";;;;;;;;;;;;;;;
NODN;Deluge nozzles;"Includes nozzle orifice plates
Includes nozzle gaskets/seals
Includes nozzle mounting brackets/clamps
Includes nozzle deflectors/spray pattern adjusters
Excludes foam deluge discharge/sprinkler nozzles";;;;;;;;;;;;;;;
SECS;Wet Chemical;"Includes support structures
Includes corrosion protection
Includes leak detection sensors
Excludes cylinders/storage tanks
Excludes hoses
Excludes nozzles
Excludes heat detectors";;;;;;;;;;;;;;;
NAWK;Windsock;"Includes mounting hardware
Includes fabric material
Includes attachment fittings
Excludes windsock light functionality";;;;;;;;;;;;;;;
AEWH;Workshop Equipment;"Includes workbenches
Includes tool storage cabinets
Includes ventilation systems
Includes power distribution units
Includes compressed air supply systems
Includes dust collection systems
Includes portable pneumatic tools
Includes portable electrical tools
Excludes vibration data collector";;;;;;;;;;;;;;;
VAMN;Valve Manifold;"Includes actuators
Includes gaskets/seals
Includes mounting hardware
Includes manifold body
Includes manifold internal components";;;;;;;;;;;;;;;
PKWH;Waste Heat Recovery Unit;"Includes insulation
Includes structural supports
Includes ductwork
Includes seals and gaskets
Includes burner management system interface
Includes flue gas analysis system interface
Includes heat transfer coils
Excludes dampers and damper control system";;;;;;;;;;;;;;;
LHFL;Fairlead;"Includes lubrication system
Includes wear plates
Includes alignment pins/bushings
Includes seals/gaskets
Includes mounting bolts/fasteners
Includes the rolling elements (if applicable)
Includes the welds and/or thread/bolts associated
Includes chain guide";;;;;;;;;;;;;;;
CORE;Compressor, Reciprocating;"Includes Piston rings
Includes Crosshead guides
Includes Packing/seals
Includes Cylinder liners
Includes Foundation bolts
Includes Vibration isolators
Includes Local instrumentation
Includes Drive coupling/belts
Excludes Lube oil cooler
Excludes Lube oil strainer
Excludes Unit Control panel
Excludes Pulsation Damper
Excludes transmitters not categorized as MHL
Excludes valves not categorized as MHL";;;;;;;;;;;;;;;
VEST;Storage Tank;"Includes Tank heating/cooling coils
Includes Tank insulation
Includes Tank cathodic protection system
Includes Tank manholes/access hatches
Includes Tank ladder/cage
Includes Tank foundation/settlement monitoring points
Includes the tank
Includes its fittings and its supporting structure
Includes the integrity of local instrumentation
Excludes Hydraulic reservoir/tank on Hydraulic Power Units tank (When child of HYPU MHL)
Excludes Foam tank (Own EMS)
Excludes Cargo Oil Tank (Own EMS)";;;;;;;;;;;;;;;
SEER;Escape Route;"Includes Handrails
Includes Non-slip surfaces
Includes Emergency lighting
Includes Signage
Includes Pressure relief vents
Includes Structural supports
Includes Drainage systems
Includes Access hatches
Includes Walkways, stairways and ladders
Excludes Doors
Excludes Tertiary means of escape to sea (e.g. Rope ladder, ropes etc.)
Excludes Fire extinguishers
Excludes Breathing Apparatus";;;;;;;;;;;;;;;
MCCC;Chain Connector/ Chain Stopper;"Excludes Chain Jack
Excludes Riser Tensioning Package";;;;;;;;;;;;;;;
CMSE;EPIRB;"Includes Mounting bracket
Includes Activation mechanism
Includes Waterproof seals
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Excludes Battery
Excludes SART
Excludes handheld VHF radios
Excludes All other types of radio and satellite receivers";;;;;;;;;;;;;;;
VEVF;Filter, Vessel;"Includes Gaskets and seals
Includes Internal baffles/plates
Includes Monitoring and control instrumentation and instrument devices utilized for process diagnostics
Excludes On/Off valve
Excludes Strainers, PSV
Excludes For carbon filters in Osmosis Reverse package, the filtrage function will be covered by PKRO";;;;;;;;;;;;;;;
SPFH;Flexible Hoses & Connections;"Includes Hose clamps
Includes Hose fittings
Includes Hose reinforcement layers
Includes Hose end connections
Includes Hose protective covers
Includes Hose identification tags
Includes Connectors
Excludes Bunker hose
Excludes Fire hose
Excludes Valves";;;;;;;;;;;;;;;
MEQR;Quick Release Hook;"Includes load cell
Includes electrical wiring and connectors
Includes seals and gaskets
Includes lubrication points
Includes fasteners and bolts
Includes hook, pins, lever
Includes impact block
Includes QRH Load Monitor Unit
Excludes hydraulic cylinder
Excludes mooring hawser (MEHW)";;;;;;;;;;;;;;;
PKSR;Sulphate Reduction Package (SRP);"Includes Internal piping and manifolds
Includes Internal electrical wiring and connections
Includes Internal heat exchangers or cooling elements
Includes Internal chemical injection points
Includes Internal pressure relief devices
Includes Internal seals and gaskets
Excludes Pumps and Motors
Excludes Filter vessels
Excludes Interconnecting Pipework, valves, vents and drains, hoses, flexible couplings and supporting structural steelwork";;;;;;;;;;;;;;;
AREA;SUPERSTRUCTURE / LOCATION;"Includes Structural compartments such as chain locker
Includes Voids
Includes Topsides Modules (Location and Structure)
Includes Superstructures (above/below maindeck)
Excludes Galley Equipment
Excludes Gym Equipment
Excludes Hospital Equipment
Excludes Laundry";;;;;;;;;;;;;;;
VAXV;On/Off Valve;"Includes stem packing/seals
Includes bonnet gasket
Includes stem nut/threads
Includes stem coupling
Includes actuator mounting bolts
Includes actuator position feedback device
Includes actuator manual override
Includes actuator brake
Includes actuator lubrication points
Includes actuator electrical connections
Includes actuator housing seals
Includes actuator internal wiring
Includes actuator internal fuses/circuit breakers
Includes actuator internal power supply
Includes actuator internal communication modules
Includes actuator internal diagnostic/test points
Includes local position controller internal components (display, buttons, wiring)
Includes remote position controller internal components (communication modules, power supply)
Includes local and remote position controllers
Excludes solenoid valves
Excludes Hydraulic Power Unit (HYPU)
Excludes Solenoid Valve Control Panel (SVCP)";;;;;;;;;;;;;;;
VACK;Valve, Choke;"Includes stem packing/seals
Includes bonnet gasket
Includes stem/bonnet bolts and nuts
Includes choke trim/seat
Includes position feedback potentiometer/encoder
Includes manual override mechanism
Includes actuator mounting bolts
Includes positional indicators
Includes position feedback arm
Includes current pressure transducer
Includes internal components and piping connections
Excludes solenoid";;;;;;;;;;;;;;;
VADE;Valve, Deluge;"Includes Electrical wiring/cabling
Includes Internal seals/gaskets
Includes Internal springs
Excludes Deluge nozzles";;;;;;;;;;;;;;;
HEPC;Printed Circuit;"Includes Internal power supply unit
Includes Internal wiring/cabling
Includes Internal fuses/circuit breakers
Includes Internal diagnostic/test points
Includes Internal communication ports/interfaces
Excludes pipe line strainers";;;;;;;;;;;;;;;
LSEL;Escape set and Grab bag;"Includes Pressure regulators
Includes Low-pressure alarms
Includes Harness straps
Includes Mask seals
Includes Communication devices
Includes Emergency lights
Includes First aid supplies
Includes Constant flow type Escape Sets
Includes Positive pressure full face mask Escape Sets
Includes Protective bag/case
Includes Stowage locations and cabinets
Excludes Smoke Hood (LSSH)
Excludes Self-contained breathing apparatus (SECA)";;;;;;;;;;;;;;;
NQNT;SART;"Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Lanyard
Includes Mounting structure
Excludes Battery";;;;;;;;;;;;;;;
SPBX;Box, Drain;"Includes gullies
Includes seals
Includes gooseneck
Excludes filters and strainers on lines leading from the drain box for contaminated liquid to the slop tanks (SPSR)
Excludes helideck drain system (Covered by VEHD – Helideck Structures)";;;;;;;;;;;;;;;
LSSH;Smoke Hood;"Includes Inspection seals and tamper indicators
Includes Carrying straps and handles
Includes Internal elastic head straps
Includes Internal viewing lenses
Includes Stowage Locations and Storage Cabinets
Excludes Grab Bags and contents (e.g. Smoke Hoods, Light Sticks, Gloves)";;;;;;;;;;;;;;;
FTSU;Deep Sea Suction Hose;Excludes Submerged Pumps (own item class PUSE);;;;;;;;;;;;;;;
PKST;Sewage Water Treatment Package;"Includes Sewage tank agitator
Includes Sewage tank mixer
Includes Sewage tank aerator
Includes Sewage tank decanter
Includes Sewage tank clarifier
Includes Sewage tank skimmer
Includes Sewage tank scum removal system
Includes Sewage tank grit removal system
Includes Sewage tank grease interceptor
Includes Sewage tank odor control system
Includes Sewage tank pH adjustment system
Includes Sewage tank chemical dosing system
Includes Sewage tank sludge dewatering system
Includes Sewage tank sludge drying system
Includes Sewage tank sludge disposal system
Includes Sewage tank disinfection system
Includes Sewage tank monitoring system
Includes Sewage tank control system
Includes Sewage tank safety system
Includes Sewage tank emergency bypass system
Includes Sewage tank overflow system
Includes Sewage tank drain system
Includes Sewage tank vent system
Includes Sewage tank insulation
Includes Sewage tank heating system
Includes Sewage tank cooling system
Includes Sewage tank instrumentation
Includes Sewage tank piping
Includes Sewage tank fittings
Includes Sewage tank supports
Includes Sewage tank foundation
Includes Sewage tank access platforms
Includes Sewage tank ladders
Includes Sewage tank hatches
Includes Sewage tank manholes
Includes Sewage tank sample points
Includes Sewage tank cleaning system
Includes Sewage tank inspection ports
Includes Sewage tank corrosion protection
Includes Sewage tank documentation
Includes Sewage tank spare parts
Includes Sewage tank tools
Includes Sewage tank maintenance equipment
Includes Sewage package macerator
Includes Sewage tank
Excludes Aeration blower
Excludes Discharge pump
Excludes Sludge pump
Excludes Vacuum pump (when fitted)
Excludes Chemical dosing pump
Excludes Electric panel
Excludes Electric motors
Excludes Instruments (other than level sensors)";;;;;;;;;;;;;;;
LHRO;Roller, Handling;"Includes lubrication system
Includes seals
Includes mounting brackets
Includes drive mechanism
Includes sensors
Excludes bearings";;;;;;;;;;;;;;;
SPEJ;Expansion Joint;"Includes bellows element
Includes tie rods/limit rods
Includes internal liners
Includes external covers
Includes welds/brazing joints
Includes alignment guides/supports
Excludes gaskets and fastenings between pipework and expansion joint";;;;;;;;;;;;;;;
MPAN;Anode Sacrificial;"Includes:
- All Sacrificial Anodes installed along the vessel structure (Internal & External).";;;;;;;;;;;;;;;
FTHO;Hose Assembly;"Includes hose reinforcement layers
Includes hose inner liner
Includes hose outer cover
Includes hose fittings (e.g., nipples, adapters)
Includes hose clamps or bands
Includes hose inspection ports or test points
Includes all spool pieces
Includes reducers and Y piece (when fitted)
Includes restraining arrangement
Includes floats, studs, bolts and nuts
Includes pick-up arrangement
Excludes hose end valve
Excludes Marine breakaway coupling (FTBK)";;;;;;;;;;;;;;;
CWCH;Mooring Lines;"Includes Anchoring Leg
Includes Chain/wire and chain/rope
Includes connectors
Excludes Chain Connector";;;;;;;;;;;;;;;
MCBM;Bell Mouth;"Includes Corrosion protection system
Includes Structural supports and brackets
Includes Inspection access points
Includes Drainage holes
Includes Bellmouth structure including fastenings and auxiliary connections";;;;;;;;;;;;;;;
HEST;Heat Exchanger, Shell and Tube;"Includes tube bundle
Includes tube sheets
Includes tube side and shell side nozzles
Includes tube supports/baffles
Includes gaskets and seals
Includes insulation and cladding
Includes instrumentation impulse lines
Includes foundation and anchor bolts
Includes both sides of the exchanger
Includes its fittings and any supporting structure";;;;;;;;;;;;;;;
SECO;Fire Fighting System, CO2;"Includes CO2 cylinder pressure relief devices
Includes CO2 system manual release stations
Includes CO2 system piping supports and hangers
Includes CO2 system test and inspection ports
Includes CO2 fire suppression system
Includes Associated cylinders, pipework and dispersion equipment
Excludes CO2 bottle rack (VEBR)";;;;;;;;;;;;;;;
IPCM;Analyser, Corrosion Monitor;"Includes Internal power supply
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Internal surge protection devices
Includes Internal terminal blocks/connectors
Includes Internal calibration ports/accessories
Includes Instrument cables and field termination
Includes Consideration of equipment Ex protection rating inspection requirements (where applicable)
Excludes Corrosion Coupon";;;;;;;;;;;;;;;
IPCO;Input Device corrosion;"Includes Corrosion Sensor Cable
Includes Corrosion Reference Electrode
Includes Corrosion Power Supply
Excludes Corrosion Monitor
Excludes Corrosion Coupon";;;;;;;;;;;;;;;
LHDA;Davit;"Includes lubrication points
Includes structural welds/bolts
Includes corrosion protection system
Includes wire guiding system (sheaves)
Excludes davit-launched life rafts
Excludes motorisation (electric or hydraulic)
Excludes gearbox
Excludes Hydraulic Power Unit (HPU)
Excludes Lifeboat";;;;;;;;;;;;;;;
CEDM;Demister;"Includes Mesh pad
Includes Support grid
Includes Drainage system
Includes Fasteners and seals
Excludes IG system deck water seal internal demisters";;;;;;;;;;;;;;;
RAHR;Reel, Mooring Hawser;"Includes brake system
Includes gear reducer
Includes sensors
Includes seals
Includes lubrication system
Includes electrical components
Includes Drum
Includes Support Frame
Includes Control Console
Excludes hydraulic motor
Excludes Lighting
Excludes Quick Release Hook
Excludes Mooring Hawser
Excludes hydraulic power unit
Excludes fairlead";;;;;;;;;;;;;;;
WIWN;Winch, Traction;"Includes clutch
Includes lubrication system
Includes safety devices
Includes drum and frame
Includes lever and reduction mechanism
Includes brakes";;;;;;;;;;;;;;;
RARE;Reel , Other;"Includes seals
Includes brake system
Includes lubrication system
Includes Drum
Includes Support Frame
Includes Control Console
Includes Spooling device
Includes emergency arrangement for hose reeling-in
Excludes hydraulic motors
Excludes swivel
Excludes Offloading Hose Reel (own EST, RAOH)
Excludes hydraulic power unit (own EMS, HYPU)";;;;;;;;;;;;;;;
WICT;Capstan;"Includes clutch
Includes control system
Includes foundation and mounting
Includes lubrication system
Includes seals and gaskets
Includes drum
Includes spooling system
Excludes Hydraulic Power Unit (HPU)
Excludes Motorisation (electric or hydraulic) and gearbox";;;;;;;;;;;;;;;
RAOH;Reel, Offloading Hose;"Includes braking system
Includes gear reduction unit
Includes seals
Includes sensors
Includes electrical connections
Includes lubrication system
Includes drum
Includes support Frame
Includes control Console
Includes spooling device
Includes emergency arrangement for hose reeling-in
Excludes hydraulic motors
Excludes swivel
Excludes offloading hose (own EMS: FTHO)
Excludes hydraulic power unit (own EMS: HYPU)";;;;;;;;;;;;;;;
WTHW;Calorifier, Hot Water;"Includes thermostat
Includes insulation
Includes expansion vessel
Includes heating element controller
Includes drain plug
Includes thermowell
Includes pressure relief device
Includes temperature controller
Includes water quality sensor
Includes vibration damper
Includes support brackets
Includes mounting bolts
Includes gaskets
Includes seals
Includes wiring connections
Includes terminal blocks
Includes fuses
Includes circuit breakers
Includes relays
Includes PLC modules
Includes communication modules
Includes surge protection devices
Includes diagnostic/test points
Includes electrical heating elements
Includes the vessel, its fittings and its supporting structure
Excludes local control panel";;;;;;;;;;;;;;;
LSES;Eye Wash Station;"Includes Water supply piping and connections
Includes Activation mechanism (push handle/lever)
Includes Nozzles and spray heads
Includes Water filtration/pre-treatment system
Includes Freeze protection system (if applicable)
Includes Emergency lighting (if integrated)
Includes Saline bottles, eye pads and associated consumables stored in the eyewash cabinet
Includes Station signage and identification";;;;;;;;;;;;;;;
MEFE;Fenders;"Includes fender mounting brackets
Includes fender attachment bolts/nuts
Includes fender wear indicators
Includes Chain-nets
Includes swivels
Includes rubber sleeves
Includes shackles and wires
Includes Flanges
Excludes lifting/rigging equipment associated with fenders";;;;;;;;;;;;;;;
HBFT;Flare Tip;"Includes Flare Stack (supporting structures)
Includes Pilot Gas Ignitors/Burners
Includes Windshield (if fitted)
Includes The full Flare Package for preservation purposes only
Excludes Flare Ignition Panel";;;;;;;;;;;;;;;
SEAF;Fire Fighting System, Foam;"Includes:
- Foam Deluge System
- Foam Concentrate Main Ring

Excludes
- Deluge System Nozzles
- Deluge Valves
- Foam Tank
- Foam Pumps
- Foam Monitor
- Foam Proportioner
- Foam Generator";;;;;;;;;;;;;;;
SEFJ;Foam Generator;"Includes Foam nozzle/diffuser
Includes Pressure relief device
Includes Associated visible tubing, couplings, supports, and mountings directly connected to the generator
Includes Air inlet and foam outlet openings (inspection for obstructions)
Excludes Foam tanks";;;;;;;;;;;;;;;
SEPR;Proportioner, Foam;Excludes Foam proportioners;;;;;;;;;;;;;;;
HEWP;Heat Exchanger, Welded Plate;"Includes gaskets and seals
Includes thermal insulation
Includes frame plate
Includes both sides of the exchanger
Includes its fittings and any supporting structure
Includes connection holes
Includes tightening bolts";;;;;;;;;;;;;;;
CEIG;Gas Freeing Cover;"Includes cover seals and gaskets
Includes hinges and locking mechanisms
Includes structural supports and brackets
Includes drainage system
Includes check lifting system
Excludes freeing valve and associated pipework";;;;;;;;;;;;;;;
EEED;Loose Electrical Devices;"Includes Portable vacuum cleaner
Includes Portable lighting (e.g., work light, flashlight)
Includes Portable soldering iron
Includes Portable cable reel/extension cord
Includes Portable barcode scanner
Includes Moveable equipment ≤ 18 kg and not fixed: Aircraft Starter Power Pack, small portable welding set (plug-in type, not permanently installed)
Includes Portable equipment ≤ 18 kg intended to be moved while in operation: Kettle, toaster, sandwich maker, coffee machine (countertop type), food mixer, blender, hand mixer (plug-in), portable hot plate (small, plug-in)
Excludes Washing machine and tumble dryer (laundry area), domestic type
Excludes Small portable fan or dehumidifier (if not anchored/fixed)
Excludes Portable electric heater (electric fire)
Excludes Fixed and panel-integrated automation/control equipment";;;;;;;;;;;;;;;
LFEX;Extinguisher;"Includes Safety pin and tamper seal
Includes Mounting bracket or cart";;;;;;;;;;;;;;;
MEHW;Mooring Hawser;"Includes hawser tension monitoring system
Includes hawser end termination fitting
Includes hawser protective sleeve/jacket
Includes hawser buoyancy element
Includes chafe chains
Includes chafe chain support buoy
Includes shackles, pear-link
Includes hawser pick-up arrangement
Includes hawser recovery arrangement
Excludes Quick Release Hook (own EMS: MEQR)
Excludes Bell Mouth (own dedicated Item Class)";;;;;;;;;;;;;;;
